country,city,monitor_type
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,o3
US,Seattle-Tacoma-Bellevue,o3
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,o3
US,Seattle-Tacoma-Bellevue,"o3, pm25"
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,"bc, co, no2, pm25"
US,Seattle-Tacoma-Bellevue,"co, no2, o3, pm25, so2"
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,"no2, pm25"
US,Seattle-Tacoma-Bellevue,pm25
US,Seattle-Tacoma-Bellevue,pm25
US,Portland-Vancouver-Beaverton,pm25
US,Portland-Vancouver-Beaverton,pm25
US,Portland-Vancouver-Beaverton,"bc, pm25"
US,Portland-Vancouver-Beaverton,"bc, pm25"
US,Portland-Vancouver-Beaverton,"bc, co, no2, o3, pm25"
US,Portland-Vancouver-Beaverton,"o3, pm25"
US,Portland-Vancouver-Beaverton,"bc, co, no2, o3, pm25, so2"
US,Portland-Vancouver-Beaverton,"o3, pm25"
US,Portland-Vancouver-Beaverton,o3
US,Portland-Vancouver-Beaverton,o3
US,Washington,o3
US,WASHINGTON,"o3, pm10, pm25"
US,WASHINGTON,o3
US,WASHINGTON,pm25
US,WASHINGTON,"o3, pm25"
US,WASHINGTON,"no2, o3, pm25"
US,WASHINGTON,o3
US,WASHINGTON,o3
US,WASHINGTON,"bc, no2, o3, pm10, pm25, so2"
US,WASHINGTON,"o3, pm25"
US,WASHINGTON,"no2, o3"
US,WASHINGTON,co
US,WASHINGTON,pm25
US,Washington-Arlington-Alexandria,"no2, o3"
US,Washington-Arlington-Alexandria,"co, no2, o3"
US,Washington-Arlington-Alexandria,"o3, so2"
US,Washington-Arlington-Alexandria,o3
US,Washington-Arlington-Alexandria,"co, no2, pm25"
US,Washington-Arlington-Alexandria,"o3, pm25, so2"
US,Washington-Arlington-Alexandria,o3
US,Washington-Arlington-Alexandria,"bc, co, no2, o3, pm25, so2"
US,Washington-Arlington-Alexandria,"no2, o3"
US,Washington-Arlington-Alexandria,pm25
US,Washington-Arlington-Alexandria,pm25
US,Washington-Arlington-Alexandria,o3
US,Washington-Arlington-Alexandria,"co, no2, o3, pm25, so2"
US,Washington-Arlington-Alexandria,"o3, pm25"
US,Washington-Arlington-Alexandria,o3
US,Washington-Arlington-Alexandria,o3
US,Washington-Arlington-Alexandria,o3
JO,Amman,pm25
IN,Bengaluru,"co, no2, o3, pm10, pm25, so2"
IN,Bengaluru,"co, no2, o3, pm25, so2"
IN,Bengaluru,"co, no2, o3, pm25, so2"
IN,Bengaluru,"co, no2, o3, pm25, so2"
IN,Bengaluru,"co, no2, o3, pm25, so2"
IN,Bengaluru,"co, no2, pm10, so2"
IN,Bengaluru,"co, no2, pm10, so2"
IN,Bengaluru,"co, no2, o3, pm10, pm25, so2"
IN,Bengaluru,"co, no2, o3, pm10, pm25, so2"
IN,Bengaluru,"co, no2, o3, pm10, pm25, so2"
IN,Bengaluru,"co, no2, pm25, so2"
IN,Bengaluru,"co, no2, pm25, so2"
IN,Bengaluru,"co, no2, pm10, so2"
IN,Bengaluru,"co, no2, pm10, so2"
IN,Bengaluru,"co, no2, o3, pm10, pm25, so2"
IN,Chennai,"co, no2, o3, pm25, so2"
IN,Chennai,"co, no2, o3, pm25, so2"
IN,Chennai,"co, no2, o3, pm25, so2"
IN,Chennai,"co, no2, pm25, so2"
IN,Chennai,"co, no2, o3, pm10, pm25, so2"
IN,Chennai,"co, no2, o3, pm10, pm25, so2"
IN,Chennai,pm25
IN,Chennai,pm25
IN,Chennai,"co, no2, o3, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"co, no2, pm10, pm25"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"no2, o3, pm25"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"no2, o3, so2"
IN,Delhi,"no2, o3, so2"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"co, no2, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"co, no2, o3, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"no2, o3, pm10, pm25, so2"
IN,Delhi,"no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,pm25
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,Delhi,"co, no2, o3, pm10, pm25, so2"
IN,India,pm25
BD,Dhaka,pm25
BD,Dhaka,pm25
BD,Dhaka,pm25
AE,Dubai,"o3, pm25"
IN, Alwar,"co, no2, o3, pm10, pm25, so2"
IN,Jaipur,"co, no2, o3, pm10, pm25, so2"
IN,Jaipur,"co, no2, o3, pm10, pm25, so2"
IN,Jaipur,"co, no2, o3, pm10, pm25, so2"
IN,Jaipur,"co, no2, o3, pm10, pm25, so2"
IN,Jaipur,"co, no2, o3, pm10, pm25, so2"
PK,N/A,pm25
IN,India,pm25
IN,Kolkata,"co, no2, o3, pm10, pm25, so2"
IN,Kolkata,"co, no2, o3, pm10, pm25, so2"
IN,Kolkata,"co, no2, o3, pm10, pm25, so2"
IN,Kolkata,"co, no2, o3, pm10, pm25, so2"
IN,Kolkata,"co, no2, o3, pm10, so2"
IN,Kolkata,"co, no2, o3, pm10, pm25, so2"
IN,Kolkata,"co, no2, o3, pm10, pm25, so2"
IN,Kolkata,pm25
IN,Kolkata,"co, no2, o3, pm10, pm25, so2"
IN,Kolkata,"co, no2, o3, pm10, pm25, so2"
